GEOID,NAME,Above_Poverty_Households,Above_Poverty_Level,Asian_Alone,Below_Poverty_Female_12_14,Below_Poverty_Female_15,Below_Poverty_Female_16_17,Below_Poverty_Female_5,Below_Poverty_Female_6_11,Below_Poverty_Female_Total,Below_Poverty_Female_Under_5,Black_Alone,Built_1939_Earlier,Built_1940_1949,Built_1950_1959,Built_1960_1969,Built_1970_1979,Built_1980_1989,Built_1990_1999,Built_2000_2009,Built_2010_2019,Built_2020_Later,Children_In_Married_Couple_Families,Children_In_Single_Father_Families,Children_In_Single_Mother_Families,Family_Female_No_Husband,Family_Households,Family_Income_200K_Plus,Family_Male_No_Wife,Family_Married_Couple,Five_Plus_Bedrooms,Four_Bedrooms,Hispanic_Latino,Households_No_Children_Under_18,Households_With_Children_Under_18,Income_100K_125K,Income_10K_15K,Income_125K_150K,Income_150K_200K,Income_15K_20K,Income_200K_Plus,Income_20K_25K,Income_25K_30K,Income_30K_35K,Income_35K_40K,Income_40K_45K,Income_45K_50K,Income_50K_60K,Income_60K_75K,Income_75K_100K,Income_Under_10K,Median_Gross_Rent,Median_Home_Value,Median_Household_Income,Median_Household_Income_All_Tenure,Median_Income_Owner_Occupied,Median_Income_Renter_Occupied,Mobile_Home,No_Bedroom,Nonfamily_Households,Nonfamily_Living_Alone,Nonfamily_Not_Alone,Occupied_Units,One_Bedroom,Other_Housing_Type,Owner_1_Person,Owner_2_Person,Owner_3_Person,Owner_4_Person,Owner_5_Person,Owner_6_Person,Owner_7_Plus_Person,Owner_Costs_1000_1499,Owner_Costs_1500_1999,Owner_Costs_2000_2999,Owner_Costs_300_599,Owner_Costs_600_999,Owner_Costs_Under_300,Owner_Occupied,Pop_12_14,Pop_15_17,Pop_3_4,Pop_5,Pop_6_11,Pop_Under_3,Rent_Burden_30_34_Pct,Rent_Burden_35_39_Pct,Rent_Burden_40_49_Pct,Rent_Burden_50_Plus_Pct,Renter_1_Person,Renter_2_Person,Renter_3_Person,Renter_4_Person,Renter_5_Person,Renter_6_Person,Renter_7_Plus_Person,Renter_Occupied,Single_Family_Attached,Single_Family_Detached,Three_Bedrooms,Total_Families,Total_Households,Total_Households_Children_Status,Total_Housing_Units,Total_Housing_Units_Check,Total_Occupied_Units,Total_Occupied_Units_Size,Total_Own_Children_Under_18,Total_Pop_Under_18,Total_Population,Two_Bedrooms,Units_10_19,Units_2,Units_20_49,Units_3_4,Units_50_Plus,Units_5_9,Vacant_Units,White_Alone,Percent_White,Percent_Black,Percent_Asian,Percent_Hispanic,Low_Income_Under_35K,Middle_Income_35K_100K,High_Income_100K_Plus,Percent_Low_Income_Under_35K,Percent_High_Income_100K_Plus,Percent_Family_Households,Percent_Single_Person_Households,Percent_Households_With_Children,Percent_Children_Married_Couple,Percent_Children_Single_Parent,Percent_Occupied,Percent_Vacant,Percent_Owner_Occupied,Percent_Renter_Occupied,Percent_Single_Family,Multi_Family_All_Units,Percent_Multi_Family_All,Percent_Built_2000_Plus,Percent_Built_Pre_1980,Two_Plus_Bedroom_Units,Percent_Two_Plus_Bedrooms,High_Rent_Burden_30_Plus_Units,High_Rent_Burden_50_Plus_Units,Percent_High_Rent_Burden_30_Plus,Percent_High_Rent_Burden_50_Plus,Housing_Vacancy_Rate,Old_Housing_Rate,Mobile_Home_Rate,Renter_Rate,Old_Housing_Rate_std,Mobile_Home_Rate_std,Housing_Vacancy_Rate_std,Housing_Risk,Social_Isolation_Risk_Index,Risk_Category
22033000100,"Census Tract 000100, East Baton Rouge Parish, Louisiana",0.0,569.0,0.0,0.0,0.0,0.0,0.0,32.0,345.0,43.0,1074.0,0.0,117.0,140.0,192.0,84.0,91.0,84.0,0.0,28.0,0.0,0.0,0.0,183.0,8.0,300.0,9.0,265.0,35.0,0.0,35.0,0.0,432.0,125.0,4.0,141.0,9.0,9.0,28.0,9.0,9.0,102.0,10.0,94.0,28.0,4.0,2.0,4.0,5.0,99.0,688.0,57300.0,25208.0,25208.0,28646.0,-666666666.0,90.0,0.0,257.0,248.0,9.0,557.0,167.0,0.0,263.0,138.0,5.0,0.0,5.0,133.0,8.0,294.0,294.0,0.0,263.0,0.0,263.0,263.0,59.0,2.0,43.0,42.0,6.0,191.0,43.0,0.0,0.0,110.0,8.0,125.0,9.0,116.0,125.0,294.0,162.0,294.0,0.0,546.0,325.0,300.0,557.0,557.0,736.0,736.0,557.0,557.0,183.0,191.0,1118.0,209.0,0.0,78.0,0.0,0.0,0.0,22.0,179.0,7.0,0.6261180679785331,96.06440071556351,0.0,0.0,389.0,137.0,31.0,69.83842010771993,5.565529622980251,53.85996409335727,44.52423698384201,22.44165170556553,0.0,100.0,75.67934782608695,24.320652173913043,47.217235188509875,52.782764811490125,74.18478260869566,100.0,13.586956521739129,3.804347826086957,72.41847826086956,569.0,77.30978260869566,153.0,110.0,52.04081632653062,37.41496598639456,24.320652173913043,34.91847826086957,12.228260869565217,52.782764811490125,0.9901528322009859,1.7096293658326451,0.9753946085005508,1.225058935511394,1.225058935511394,High Risk
22033000200,"Census Tract 000200, East Baton Rouge Parish, Louisiana",30.0,3359.0,4.0,20.0,45.0,67.0,0.0,169.0,1345.0,99.0,5214.0,41.0,309.0,121.0,423.0,896.0,229.0,59.0,93.0,702.0,0.0,201.0,0.0,1366.0,109.0,1280.0,0.0,857.0,423.0,55.0,20.0,313.0,1622.0,679.0,35.0,457.0,43.0,22.0,221.0,14.0,183.0,223.0,134.0,85.0,92.0,68.0,289.0,51.0,69.0,315.0,718.0,104200.0,22639.0,22639.0,53542.0,18848.0,20.0,125.0,1021.0,922.0,99.0,2301.0,535.0,0.0,657.0,391.0,246.0,32.0,214.0,145.0,45.0,1644.0,1644.0,0.0,657.0,0.0,657.0,657.0,367.0,197.0,320.0,84.0,180.0,1950.0,37.0,234.0,253.0,511.0,45.0,100.0,4.0,96.0,266.0,1644.0,889.0,1644.0,41.0,1500.0,1364.0,1280.0,2301.0,2301.0,2873.0,2873.0,2301.0,2301.0,1567.0,1950.0,5896.0,774.0,186.0,0.0,421.0,248.0,339.0,118.0,572.0,175.0,2.9681139755766623,88.43283582089553,0.06784260515603799,5.308683853459973,1533.0,654.0,114.0,66.62320730117341,4.954367666232073,55.62798783137766,40.06953498478922,29.508909169926117,12.827058072750477,87.17294192724952,80.09049773755656,19.90950226244344,28.552803129074317,71.4471968709257,53.637312913331016,1312.0,45.66655064392621,27.671423599025406,62.30421162547859,2213.0,77.02749738948835,1035.0,511.0,62.95620437956204,31.082725060827247,19.90950226244344,16.394013226592413,0.6961364427427775,71.4471968709257,0.004640476765443361,-0.3682577615031467,0.5062678885162939,0.04755020125953019,0.04755020125953019,Moderate Risk
22033000300,"Census Tract 000300, East Baton Rouge Parish, Louisiana",0.0,858.0,0.0,27.0,20.0,0.0,0.0,41.0,338.0,13.0,1321.0,21.0,156.0,108.0,162.0,161.0,56.0,0.0,34.0,32.0,0.0,199.0,0.0,83.0,27.0,194.0,0.0,102.0,92.0,20.0,12.0,0.0,470.0,136.0,24.0,48.0,15.0,0.0,69.0,1.0,13.0,72.0,3.0,6.0,0.0,58.0,6.0,118.0,33.0,140.0,950.0,79500.0,26833.0,26833.0,60154.0,19464.0,27.0,11.0,412.0,360.0,52.0,606.0,93.0,0.0,230.0,72.0,40.0,24.0,16.0,32.0,0.0,376.0,376.0,0.0,230.0,0.0,230.0,230.0,135.0,123.0,22.0,13.0,0.0,341.0,64.0,21.0,34.0,144.0,0.0,32.0,12.0,20.0,158.0,376.0,122.0,376.0,0.0,549.0,316.0,194.0,606.0,606.0,730.0,730.0,606.0,606.0,282.0,343.0,1346.0,278.0,0.0,54.0,0.0,69.0,0.0,31.0,124.0,17.0,1.263001485884101,98.14264487369985,0.0,0.0,345.0,221.0,40.0,56.930693069306926,6.6006600660066,32.01320132013201,59.4059405940594,22.442244224422442,70.56737588652481,29.432624113475175,83.01369863013699,16.986301369863014,37.95379537953795,62.04620462046204,75.20547945205479,154.0,21.095890410958905,9.04109589041096,83.28767123287672,626.0,85.75342465753425,263.0,144.0,69.9468085106383,38.297872340425535,16.986301369863014,39.04109589041096,3.6986301369863015,62.04620462046204,1.209478497105833,0.17273908923015358,0.19538485934841138,0.5258674818947994,0.5258674818947994,High Risk
22033000400,"Census Tract 000400, East Baton Rouge Parish, Louisiana",20.0,2163.0,16.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,2370.0,0.0,168.0,387.0,224.0,93.0,61.0,94.0,44.0,0.0,55.0,244.0,22.0,206.0,20.0,493.0,41.0,287.0,206.0,49.0,104.0,43.0,623.0,278.0,6.0,61.0,0.0,49.0,91.0,45.0,136.0,104.0,74.0,0.0,79.0,23.0,72.0,47.0,57.0,57.0,1031.0,146000.0,30375.0,30375.0,24922.0,41159.0,64.0,0.0,408.0,384.0,24.0,901.0,33.0,0.0,482.0,333.0,140.0,44.0,96.0,193.0,20.0,419.0,419.0,0.0,482.0,0.0,482.0,482.0,113.0,102.0,78.0,39.0,99.0,505.0,55.0,14.0,20.0,123.0,0.0,173.0,89.0,84.0,149.0,419.0,160.0,419.0,0.0,979.0,471.0,493.0,901.0,901.0,1126.0,1126.0,901.0,901.0,472.0,505.0,2612.0,469.0,28.0,0.0,0.0,51.0,0.0,4.0,225.0,198.0,7.580398162327719,90.73506891271057,0.6125574272588056,1.6462480857580397,523.0,278.0,100.0,58.046614872364046,11.098779134295228,54.71698113207547,42.61931187569367,30.854605993340734,51.69491525423729,48.30508474576271,80.0177619893428,19.982238010657195,53.496115427302996,46.503884572697004,86.9449378330373,83.0,7.371225577264654,8.792184724689166,77.44227353463587,1093.0,97.06927175843695,212.0,123.0,50.59665871121718,29.355608591885442,19.982238010657195,49.289520426287744,5.683836589698046,46.503884572697004,1.7547006660141753,0.5304385711746349,0.5140033506225345,0.9330475292704481,0.9330475292704481,High Risk
22033000500,"Census Tract 000500, East Baton Rouge Parish, Louisiana",96.0,1645.0,0.0,93.0,30.0,45.0,0.0,66.0,760.0,0.0,3035.0,145.0,237.0,404.0,437.0,211.0,47.0,130.0,0.0,0.0,0.0,0.0,141.0,298.0,171.0,677.0,28.0,499.0,178.0,0.0,15.0,5.0,893.0,262.0,10.0,183.0,7.0,0.0,123.0,28.0,138.0,114.0,62.0,43.0,49.0,13.0,43.0,87.0,78.0,177.0,868.0,61300.0,23588.0,23588.0,-666666666.0,21994.0,5.0,33.0,478.0,411.0,67.0,1155.0,73.0,0.0,326.0,233.0,109.0,0.0,109.0,124.0,23.0,829.0,766.0,63.0,321.0,5.0,326.0,326.0,96.0,139.0,165.0,19.0,64.0,689.0,20.0,26.0,121.0,416.0,12.0,101.0,0.0,101.0,93.0,829.0,444.0,829.0,0.0,1473.0,666.0,677.0,1155.0,1155.0,1611.0,1611.0,1155.0,1155.0,439.0,689.0,3164.0,824.0,32.0,63.0,0.0,38.0,0.0,0.0,456.0,79.0,2.4968394437420987,95.92288242730721,0.0,0.15802781289506954,797.0,313.0,45.0,69.00432900432901,3.896103896103896,58.61471861471862,35.58441558441559,22.683982683982684,0.0,100.0,71.69459962756052,28.305400372439475,28.225108225108226,71.77489177489178,91.43389199255121,133.0,8.255741775294847,0.0,89.01303538175046,1505.0,93.42023587833643,583.0,416.0,70.32569360675512,50.180940892641736,28.305400372439475,48.78957169459962,0.31036623215394166,71.77489177489178,1.728103101590518,-0.4377668064131858,1.3991734167150045,0.8965032372974454,0.8965032372974454,High Risk
22033000601,"Census Tract 000601, East Baton Rouge Parish, Louisiana",0.0,1498.0,0.0,56.0,0.0,0.0,29.0,48.0,637.0,30.0,2456.0,97.0,140.0,380.0,425.0,124.0,54.0,16.0,0.0,6.0,0.0,0.0,0.0,415.0,8.0,419.0,0.0,302.0,117.0,22.0,260.0,0.0,700.0,207.0,49.0,272.0,48.0,0.0,51.0,0.0,73.0,64.0,35.0,24.0,0.0,15.0,13.0,56.0,89.0,118.0,908.0,88100.0,20453.0,20453.0,32292.0,15375.0,0.0,57.0,488.0,471.0,17.0,907.0,69.0,0.0,508.0,205.0,78.0,0.0,78.0,127.0,8.0,399.0,399.0,0.0,508.0,0.0,508.0,508.0,65.0,211.0,82.0,0.0,29.0,584.0,40.0,38.0,62.0,209.0,8.0,119.0,15.0,104.0,303.0,399.0,214.0,399.0,0.0,997.0,575.0,419.0,907.0,907.0,1242.0,1242.0,907.0,907.0,415.0,584.0,2477.0,259.0,0.0,25.0,157.0,30.0,16.0,17.0,335.0,21.0,0.8477997577714977,99.1522002422285,0.0,0.0,613.0,197.0,97.0,67.58544652701212,10.694597574421168,46.19625137816979,51.929437706725466,22.822491730981255,0.0,100.0,73.02737520128825,26.972624798711752,56.00882028665931,43.991179713340685,80.27375201288245,245.0,19.726247987117553,0.4830917874396135,93.88083735909822,1116.0,89.85507246376811,349.0,209.0,87.468671679198,52.38095238095239,26.972624798711752,49.67793880837359,0.0,43.991179713340685,1.7753647507213761,-0.49368937320863315,1.257432454397603,0.8463692773034487,0.8463692773034487,High Risk
22033000602,"Census Tract 000602, East Baton Rouge Parish, Louisiana",69.0,2742.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,66.0,3836.0,75.0,230.0,575.0,560.0,129.0,64.0,104.0,0.0,30.0,0.0,26.0,0.0,590.0,69.0,867.0,0.0,715.0,152.0,0.0,164.0,13.0,1036.0,370.0,66.0,258.0,20.0,70.0,143.0,0.0,177.0,67.0,54.0,53.0,73.0,3.0,54.0,111.0,80.0,177.0,826.0,93400.0,24000.0,24000.0,29055.0,22446.0,82.0,69.0,539.0,539.0,0.0,1406.0,110.0,0.0,611.0,372.0,128.0,5.0,123.0,244.0,69.0,795.0,795.0,0.0,603.0,8.0,611.0,611.0,12.0,6.0,171.0,124.0,128.0,717.0,40.0,23.0,36.0,250.0,69.0,175.0,1.0,174.0,239.0,795.0,495.0,795.0,5.0,1440.0,899.0,867.0,1406.0,1406.0,1767.0,1767.0,1406.0,1406.0,616.0,717.0,3849.0,525.0,46.0,18.0,27.0,19.0,90.0,40.0,361.0,13.0,0.33775006495193555,99.66224993504807,0.0,0.33775006495193555,876.0,374.0,156.0,62.30440967283073,11.095305832147938,61.664295874822194,38.33570412517781,26.31578947368421,4.220779220779221,95.77922077922078,79.56989247311827,20.43010752688172,43.45661450924609,56.54338549075392,81.77702320316921,240.0,13.582342954159593,1.697792869269949,88.79456706281834,1588.0,89.86983588002263,349.0,250.0,43.89937106918239,31.446540880503143,20.43010752688172,49.80192416525184,4.640633842671194,56.54338549075392,1.7819608440968395,0.34247168155222485,0.5616343677822639,0.8953556311437761,0.8953556311437761,High Risk
22033000701,"Census Tract 000701, East Baton Rouge Parish, Louisiana",35.0,1169.0,0.0,33.0,22.0,7.0,0.0,75.0,504.0,25.0,1905.0,46.0,47.0,166.0,161.0,196.0,91.0,0.0,40.0,105.0,0.0,114.0,159.0,213.0,44.0,376.0,0.0,264.0,112.0,0.0,93.0,136.0,342.0,323.0,27.0,47.0,9.0,0.0,57.0,17.0,17.0,129.0,24.0,32.0,32.0,14.0,54.0,25.0,47.0,134.0,923.0,128600.0,28861.0,28861.0,48750.0,27083.0,50.0,77.0,289.0,238.0,51.0,665.0,98.0,0.0,256.0,145.0,73.0,10.0,63.0,72.0,29.0,409.0,409.0,0.0,256.0,0.0,256.0,256.0,51.0,111.0,138.0,29.0,67.0,619.0,32.0,27.0,57.0,222.0,7.0,43.0,35.0,8.0,111.0,409.0,231.0,409.0,10.0,515.0,343.0,376.0,665.0,665.0,852.0,852.0,665.0,665.0,486.0,619.0,2043.0,241.0,96.0,0.0,66.0,0.0,42.0,73.0,187.0,0.0,0.0,93.24522760646109,0.0,6.656877141458639,408.0,204.0,53.0,61.35338345864662,7.969924812030076,56.54135338345865,35.78947368421053,48.57142857142857,23.456790123456788,76.5432098765432,78.05164319248826,21.948356807511736,38.496240601503764,61.503759398496236,61.61971830985915,277.0,32.51173708920187,17.018779342723008,72.30046948356808,677.0,79.46009389671362,338.0,222.0,82.64058679706602,54.278728606356964,21.948356807511736,30.399061032863848,5.868544600938967,61.503759398496236,0.7497171969841827,0.5637197242968317,0.7231004978016642,0.678845806360893,0.678845806360893,High Risk
22033000702,"Census Tract 000702, East Baton Rouge Parish, Louisiana",46.0,2436.0,16.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,2985.0,0.0,181.0,145.0,525.0,249.0,82.0,16.0,64.0,97.0,9.0,30.0,57.0,608.0,70.0,740.0,0.0,559.0,181.0,0.0,55.0,30.0,724.0,450.0,34.0,67.0,11.0,31.0,0.0,0.0,86.0,125.0,55.0,170.0,27.0,199.0,161.0,81.0,54.0,73.0,869.0,99400.0,43333.0,43333.0,48230.0,36716.0,9.0,73.0,434.0,407.0,27.0,1174.0,212.0,0.0,523.0,400.0,167.0,0.0,167.0,233.0,24.0,651.0,651.0,0.0,523.0,0.0,523.0,523.0,108.0,245.0,119.0,63.0,77.0,880.0,99.0,33.0,63.0,64.0,24.0,209.0,134.0,75.0,123.0,651.0,340.0,651.0,0.0,871.0,743.0,740.0,1174.0,1174.0,1368.0,1368.0,1174.0,1174.0,695.0,880.0,3143.0,285.0,172.0,0.0,53.0,36.0,227.0,0.0,194.0,61.0,1.9408208717785556,94.97295577473751,0.5090677696468342,0.9545020680878141,406.0,692.0,76.0,34.582623509369675,6.473594548551959,63.03236797274276,34.667802385008514,38.33049403747871,4.316546762589928,95.68345323741008,85.81871345029239,14.181286549707602,44.54855195911414,55.451448040885865,63.66959064327485,488.0,35.67251461988304,12.426900584795321,80.4093567251462,1083.0,79.16666666666666,259.0,64.0,39.784946236559136,9.831029185867896,14.181286549707602,23.830409356725145,0.6578947368421052,55.451448040885865,0.4002610926697684,-0.375148248067231,-0.10292905618304594,-0.025938737193502856,-0.025938737193502856,Moderate Risk
22033000900,"Census Tract 000900, East Baton Rouge Parish, Louisiana",42.0,2724.0,0.0,0.0,64.0,0.0,0.0,86.0,609.0,0.0,3497.0,106.0,240.0,594.0,566.0,74.0,45.0,50.0,59.0,86.0,0.0,127.0,0.0,188.0,131.0,926.0,0.0,626.0,300.0,0.0,134.0,57.0,1129.0,248.0,30.0,138.0,220.0,0.0,255.0,0.0,76.0,55.0,75.0,44.0,39.0,95.0,61.0,54.0,162.0,73.0,997.0,95300.0,36331.0,36331.0,40625.0,34447.0,0.0,40.0,451.0,415.0,36.0,1377.0,256.0,0.0,740.0,585.0,119.0,0.0,119.0,466.0,131.0,637.0,593.0,44.0,740.0,0.0,740.0,740.0,170.0,113.0,143.0,108.0,0.0,728.0,52.0,85.0,43.0,192.0,131.0,335.0,45.0,290.0,155.0,637.0,341.0,637.0,120.0,1614.0,1034.0,926.0,1377.0,1377.0,1820.0,1820.0,1377.0,1377.0,315.0,728.0,3747.0,356.0,0.0,43.0,0.0,43.0,0.0,0.0,443.0,34.0,0.9073925807312517,93.32799572991726,0.0,1.521216973578863,672.0,455.0,250.0,48.80174291938998,18.155410312273055,67.24763979665941,30.137981118373276,18.010167029774873,40.317460317460316,59.682539682539684,75.65934065934066,24.34065934065934,53.74001452432825,46.25998547567175,95.27472527472527,86.0,4.725274725274725,7.967032967032966,86.81318681318682,1524.0,83.73626373626374,372.0,192.0,58.398744113029835,30.141287284144425,24.34065934065934,51.64835164835166,0.0,46.25998547567175,1.880191864244711,-0.49368937320863315,0.9775223748880553,0.7880082886413776,0.7880082886413776,High Risk
22033001000,"Census Tract 001000, East Baton Rouge Parish, Louisiana",14.0,2325.0,0.0,0.0,0.0,0.0,0.0,6.0,200.0,0.0,2830.0,290.0,79.0,389.0,221.0,166.0,191.0,40.0,20.0,8.0,0.0,105.0,0.0,275.0,48.0,572.0,0.0,383.0,189.0,5.0,47.0,78.0,830.0,303.0,109.0,63.0,21.0,0.0,115.0,6.0,15.0,163.0,80.0,112.0,117.0,59.0,76.0,64.0,71.0,62.0,922.0,71600.0,36529.0,36529.0,35278.0,41074.0,10.0,0.0,561.0,353.0,208.0,1133.0,203.0,0.0,478.0,268.0,51.0,44.0,7.0,217.0,26.0,655.0,655.0,0.0,478.0,0.0,478.0,478.0,47.0,132.0,84.0,99.0,28.0,583.0,36.0,21.0,72.0,122.0,26.0,191.0,41.0,150.0,210.0,655.0,304.0,655.0,0.0,1100.0,581.0,572.0,1133.0,1133.0,1404.0,1404.0,1133.0,1133.0,380.0,583.0,2914.0,568.0,0.0,120.0,10.0,77.0,50.0,37.0,271.0,70.0,2.4021962937542893,97.11736444749485,0.0,2.6767330130404945,498.0,499.0,136.0,43.95410414827891,12.003530450132391,50.48543689320388,31.156222418358343,26.74315975286849,27.631578947368425,72.36842105263158,80.69800569800569,19.301994301994302,42.18887908208296,57.81112091791704,78.34757834757835,294.0,20.94017094017094,1.9943019943019942,81.55270655270655,1201.0,85.54131054131055,251.0,122.0,38.3206106870229,18.62595419847328,19.301994301994302,53.98860398860399,0.7122507122507122,57.81112091791704,2.0046946551154874,-0.36535425197292715,0.44165928926901044,0.6936665641371902,0.6936665641371902,High Risk
22033001102,"Census Tract 001102, East Baton Rouge Parish, Louisiana",0.0,2728.0,3.0,0.0,0.0,20.0,0.0,44.0,578.0,32.0,3212.0,0.0,26.0,31.0,385.0,423.0,237.0,355.0,140.0,383.0,0.0,373.0,168.0,401.0,177.0,727.0,10.0,498.0,229.0,27.0,244.0,5.0,1231.0,472.0,49.0,266.0,24.0,66.0,37.0,10.0,143.0,356.0,130.0,4.0,120.0,10.0,124.0,117.0,76.0,171.0,816.0,173800.0,26826.0,26826.0,67441.0,25693.0,66.0,35.0,976.0,903.0,73.0,1703.0,752.0,0.0,377.0,212.0,117.0,78.0,39.0,95.0,86.0,1326.0,1326.0,0.0,377.0,0.0,377.0,377.0,301.0,290.0,224.0,120.0,85.0,1308.0,208.0,80.0,186.0,362.0,0.0,9.0,0.0,9.0,165.0,1326.0,515.0,1326.0,21.0,378.0,318.0,727.0,1703.0,1703.0,1980.0,1980.0,1703.0,1703.0,942.0,1308.0,4088.0,604.0,179.0,3.0,274.0,139.0,714.0,206.0,277.0,837.0,20.474559686888455,78.57142857142857,0.07338551859099804,0.1223091976516634,1103.0,451.0,149.0,64.76805637110981,8.749266001174398,42.689371697005285,53.02407516147974,27.715795654726954,39.596602972399154,60.403397027600846,86.01010101010101,13.989898989898991,22.137404580152673,77.86259541984732,20.151515151515152,1515.0,76.51515151515152,26.41414141414141,43.686868686868685,1193.0,60.25252525252526,836.0,362.0,63.04675716440422,27.300150829562593,13.989898989898991,2.878787878787879,3.3333333333333335,77.86259541984732,-0.7143774026772887,0.10691899417447094,-0.1232831633842886,-0.24358052396236876,-0.24358052396236876,Moderate Risk
22033001103,"Census Tract 001103, East Baton Rouge Parish, Louisiana",232.0,2070.0,0.0,0.0,0.0,97.0,0.0,0.0,208.0,16.0,1993.0,52.0,303.0,228.0,132.0,348.0,83.0,61.0,84.0,0.0,0.0,137.0,768.0,377.0,298.0,832.0,20.0,612.0,220.0,53.0,71.0,19.0,592.0,527.0,69.0,32.0,39.0,86.0,239.0,20.0,37.0,172.0,128.0,0.0,8.0,62.0,53.0,86.0,57.0,31.0,1048.0,147100.0,31347.0,31347.0,61563.0,26633.0,2.0,19.0,287.0,240.0,47.0,1119.0,95.0,0.0,491.0,257.0,163.0,51.0,112.0,94.0,0.0,628.0,628.0,0.0,491.0,0.0,491.0,491.0,140.0,97.0,666.0,0.0,350.0,1600.0,138.0,7.0,14.0,260.0,0.0,94.0,30.0,64.0,234.0,628.0,575.0,628.0,0.0,935.0,708.0,832.0,1119.0,1119.0,1291.0,1291.0,1119.0,1119.0,1282.0,1600.0,3989.0,345.0,194.0,0.0,23.0,0.0,50.0,87.0,172.0,414.0,10.37854098771622,49.962396590624216,0.0,0.4763098520932565,639.0,266.0,214.0,57.10455764075068,19.124218051831992,74.3521000893655,21.447721179624665,47.09562109025916,10.686427457098285,89.31357254290172,86.67699457784663,13.32300542215337,43.87846291331546,56.12153708668453,72.42447714949651,354.0,27.420604182804027,6.506584043377226,82.33927188226181,1177.0,91.1696359411309,419.0,260.0,66.71974522292994,41.40127388535032,13.32300542215337,45.158791634391946,0.1549186676994578,56.12153708668453,1.5349434825363264,-0.465775738783392,-0.19420743444604255,0.29165343643563063,0.29165343643563063,Moderate Risk
22033001104,"Census Tract 001104, East Baton Rouge Parish, Louisiana",10.0,1415.0,0.0,30.0,6.0,0.0,3.0,157.0,1289.0,262.0,2632.0,121.0,0.0,92.0,172.0,592.0,38.0,185.0,589.0,279.0,0.0,73.0,112.0,471.0,33.0,590.0,0.0,456.0,134.0,0.0,28.0,361.0,989.0,344.0,0.0,217.0,18.0,0.0,140.0,0.0,202.0,88.0,51.0,116.0,0.0,109.0,54.0,49.0,67.0,222.0,808.0,102200.0,21376.0,21376.0,-666666666.0,21415.0,13.0,177.0,743.0,697.0,46.0,1333.0,768.0,0.0,51.0,15.0,15.0,0.0,15.0,0.0,0.0,1282.0,1247.0,35.0,51.0,0.0,51.0,51.0,138.0,178.0,329.0,63.0,4.0,858.0,115.0,46.0,89.0,551.0,0.0,0.0,0.0,0.0,36.0,1282.0,575.0,1282.0,0.0,115.0,275.0,590.0,1333.0,1333.0,2068.0,2068.0,1333.0,1333.0,656.0,858.0,3125.0,820.0,714.0,41.0,384.0,155.0,274.0,372.0,735.0,256.0,8.192,84.224,0.0,11.552,920.0,395.0,18.0,69.01725431357839,1.350337584396099,44.26106526631658,52.288072018004506,25.806451612903224,11.128048780487806,88.8719512195122,64.45841392649903,35.541586073500966,3.8259564891222806,96.17404351087771,5.560928433268859,1940.0,93.81044487427465,41.97292069632495,47.24371373307544,1123.0,54.303675048355906,801.0,551.0,62.4804992199688,42.979719188767554,35.541586073500966,10.29980657640232,0.6286266924564796,96.17404351087771,-0.31957487516113625,-0.38042183777371513,2.168743286537224,0.4895821912007908,0.4895821912007908,Moderate Risk
22033001600,"Census Tract 001600, East Baton Rouge Parish, Louisiana",0.0,2523.0,0.0,0.0,32.0,0.0,0.0,0.0,323.0,0.0,865.0,493.0,472.0,325.0,307.0,123.0,60.0,58.0,10.0,62.0,0.0,409.0,0.0,60.0,43.0,525.0,98.0,177.0,348.0,2.0,165.0,252.0,1214.0,214.0,152.0,94.0,118.0,70.0,19.0,98.0,9.0,104.0,207.0,45.0,0.0,78.0,181.0,78.0,104.0,71.0,1176.0,250000.0,52692.0,52692.0,75132.0,45250.0,0.0,0.0,903.0,591.0,312.0,1428.0,222.0,0.0,700.0,318.0,269.0,98.0,171.0,49.0,0.0,728.0,726.0,2.0,700.0,0.0,700.0,700.0,90.0,40.0,38.0,270.0,13.0,578.0,28.0,11.0,183.0,96.0,0.0,49.0,0.0,49.0,382.0,728.0,207.0,728.0,109.0,1215.0,693.0,525.0,1428.0,1428.0,1910.0,1910.0,1428.0,1428.0,469.0,589.0,3065.0,828.0,73.0,323.0,13.0,119.0,0.0,58.0,482.0,1936.0,63.16476345840131,28.221859706362153,0.0,8.221859706362153,504.0,486.0,438.0,35.294117647058826,30.672268907563026,36.76470588235294,41.38655462184874,14.985994397759104,87.20682302771856,12.79317697228145,74.76439790575917,25.23560209424084,49.01960784313725,50.98039215686274,69.31937172774869,586.0,30.680628272251308,3.769633507853403,90.0523560209424,1688.0,88.37696335078535,318.0,96.0,43.68131868131868,13.186813186813188,25.23560209424084,67.5392670157068,0.0,50.98039215686274,2.725597839787374,-0.49368937320863315,1.0726997247826306,1.1015360637871237,1.1015360637871237,High Risk
